"Sie haben folgende Auswahl für die Qualitätsdaten-Abfrage getroffen"
"Messstellentyp: Isotopen"

"Messstellen"
"Anzahl Messstellen: 24"
"Messstellen: IN70000007 Sillian, IN70000008 St. Jakob / Defreggen, IN70000053 Hochfilzen, IN70000056 Kufstein, IN70000057 Pertisau, "
"IN70000058 Achenkirch, IN70000059 Steinberg / Rofan, IN70000060 Hinterriß, IN70000061 Scharnitz, IN70000062 Seefeld / Tirol, "
"IN70000063 Gries / Brenner, IN70000064 Patscherkofel, IN70000065 Innsbruck (Universität), IN70000066 St.Martin / Gnadenwald, "
"IN70000067 Gerlos, IN70000068 Obergurgl, IN70000069 Längenfeld, IN70000070 Haiming, IN70000071 Fernpaß, IN70000072 Reutte, "
"IN70000074 Nauders, IN70000075 St.Anton / Arlberg, IN70000088 Nassereith, IN70000089 Innsbruck / Flughafen"
"Übergebene Messstellen, die in der Detailansicht nicht angezeigt werden sind im untersuchten Zeitraum nicht beprobt worden!"

"Parameter"
"Parameter: I100 Lfd. Nummer, I101 Probenahme-Beginn TT-MM-JJJJ, I102 Probenahme-(Ende) TT-MM-JJJJ, I103 Flaschengewicht g, "
"I104 Niederschlag - Monatssumme (mm), I105 Laborcode - Niederschlag I104, I106 Niederschlag - Art, I107 Lufttemperatur - Monatsmittel (°C), "
"I108 Laborcode - Lufttemperatur I107, I109 potentielle Verdunstung - Monatssumme (mm), I110 Laborcode - pot. Verdunstung I110, "
"I111 Pegelstand cm, I112 Durchfluss m³/s, I114 Delta 18O (? VSMOW), I115 Messgenauigkeit Delta 18O (?), I116 Laborcode - 18O I114, "
"I117 Delta  2H (? VSMOW), I118 Messgenauigkeit Delta 2H (?), I119 Laborcode - Deuterium I117, I120 Tritium - 3H (TE), "
"I121 Messgenauigkeit Tritium 3H, I122 Laborcode - Tritium I120, I123 freies Luftvolumen (ml) bis 2003"

"Zeitraum der Abfrage"
"Januar 1990 bis Dezember 2024"
"Probenzuordnung: GZÜV, Land"

"Definition der Ausgabe"
"Parameter werden in Spalten angezeigt."
"Leere Ergebniszeilen werden gelöscht."
"Zu Messobjekten anzeigen: GZÜV-ID, Name, Gemeinde, Höhe Messpunkt"
"Zu Parametern anzeigen: Parameter Nummer, Vollständige Bezeichnung"
"Format von Dezimalzahlen: Dezimalpunkt (.)"

"Abfrage durchgeführt durch Öffentlicher Benutzer am Mittwoch, 3. Juli 2024 um 13:37"

------------------------------------------------------------------------------------------------------------------------------------------------------

GZÜV-ID;Name;Gemeindename;Höhe Messpunkt;Monat;I100;I101;I102;I103;I104;I105;I106;I107;I108;I109;I110;I111;I112;I114;I115;I116;I117;I118;I119;I120;I121;I122;I123;
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2001";"";"01.04.2001";"30.04.2001";"";"85";"ZAMG";"";"";"ZAMG";"";"";"";"";"-15.875";"";"GSF-München";"-132.35";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2001";"";"01.05.2001";"31.05.2001";"";"24";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.305";"";"GSF-München";"-57.3";"";"GSF-München";"";"";"";"25";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2001";"";"01.06.2001";"30.06.2001";"";"138";"ZAMG";"";"";"ZAMG";"";"";"";"";"-8.07";"";"GSF-München";"-60.2";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2001";"";"01.07.2001";"31.07.2001";"";"119";"ZAMG";"";"";"ZAMG";"";"";"";"";"-6.84";"";"GSF-München";"-45.8";"";"GSF-München";"";"";"";"25";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2001";"";"01.08.2001";"31.08.2001";"";"108";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10";"";"GSF-München";"-68.3";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2001";"";"01.09.2001";"30.09.2001";"";"67";"ZAMG";"";"";"ZAMG";"";"";"";"";"-14.3";"";"GSF-München";"-104.5";"";"GSF-München";"";"";"";"30";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2001";"";"01.10.2001";"31.10.2001";"";"35";"ZAMG";"";"";"ZAMG";"";"";"";"";"-9.82";"";"GSF-München";"-70.8";"";"GSF-München";"";"";"";"5";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2001";"";"01.11.2001";"30.11.2001";"";"69";"ZAMG";"";"";"ZAMG";"";"";"";"";"-18.505";"";"GSF-München";"-137.95";"";"GSF-München";"";"";"";"5";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2001";"";"01.12.2001";"31.12.2001";"";"44";"ZAMG";"";"";"ZAMG";"";"";"";"";"-18.88";"";"GSF-München";"-143.4";"";"GSF-München";"";"";"";"0";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2002";"";"01.01.2002";"31.01.2002";"";"10";"ZAMG";"";"";"ZAMG";"";"";"";"";"-15";"";"GSF-München";"-117.85";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2002";"";"01.02.2002";"28.02.2002";"";"58";"ZAMG";"";"";"ZAMG";"";"";"";"";"-17.865";"";"GSF-München";"-135.8";"";"GSF-München";"";"";"";"40";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2002";"";"01.03.2002";"31.03.2002";"";"89";"ZAMG";"";"";"ZAMG";"";"";"";"";"-14.84";"";"GSF-München";"-113.55";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2002";"";"01.04.2002";"30.04.2002";"";"62";"ZAMG";"";"";"ZAMG";"";"";"";"";"-17.53";"";"GSF-München";"-133.05";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2002";"";"01.05.2002";"31.05.2002";"";"176";"ZAMG";"";"";"ZAMG";"";"";"";"";"-10.76";"";"GSF-München";"-78.2";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2002";"";"01.06.2002";"30.06.2002";"";"97";"ZAMG";"";"";"ZAMG";"";"";"";"";"-7.28";"";"GSF-München";"-52.7";"";"GSF-München";"";"";"";"30";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2002";"";"01.07.2002";"31.07.2002";"";"95";"ZAMG";"";"";"ZAMG";"";"";"";"";"-8.77";"";"GSF-München";"-61.3";"";"GSF-München";"";"";"";"20";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2002";"";"01.08.2002";"31.08.2002";"";"124";"ZAMG";"";"";"ZAMG";"";"";"";"";"-13.08";"";"GSF-München";"-95.95";"";"GSF-München";"";"";"";"10";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2002";"";"01.09.2002";"30.09.2002";"";"98";"ZAMG";"";"";"ZAMG";"";"";"";"";"-18.25";"";"GSF-München";"-134.1";"";"GSF-München";"";"";"";"20";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2002";"";"01.10.2002";"31.10.2002";"";"43";"ZAMG";"";"";"ZAMG";"";"";"";"";"-12.63";"";"GSF-München";"-91.15";"";"GSF-München";"";"";"";"40";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2002";"";"01.11.2002";"30.11.2002";"";"335";"ZAMG";"";"";"ZAMG";"";"";"";"";"-12.36";"";"GSF-München";"-93.1";"";"GSF-München";"";"";"";"5";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2005";"70000068";"01.07.2015";"01.07.2005";"924";"56";"ZAMG";"";"";"";"";"";"";"";"-5.2";"0.1";"ARC_2007-2009";"-31.3";"1";"ARC_2007-2009";"6.4";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2007";"";"01.01.2007";"31.01.2007";"1065";"56";"ZAMG";"";"";"";"";"";"";"";"-14.08";"0.1";"ARC_2007-2009";"-107.6";"1";"ARC_2007-2009";"4.6";"0.2";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2007";"";"01.02.2007";"28.02.2007";"1058";"42";"ZAMG";"";"";"";"";"";"";"";"-19.09";"0.1";"ARC_2007-2009";"-144.7";"1";"ARC_2007-2009";"6.8";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2007";"";"01.03.2007";"31.03.2007";"1065";"73";"ZAMG";"";"";"";"";"";"";"";"-20.03";"0.1";"ARC_2007-2009";"-154.9";"1";"ARC_2007-2009";"8.2";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2007";"";"01.04.2007";"30.04.2007";"440";"10";"ZAMG";"";"";"";"";"";"";"";"-19.33";"0.1";"ARC_2007-2009";"-146.2";"1";"ARC_2007-2009";"11.1";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2007";"";"01.05.2007";"31.05.2007";"1056";"101";"ZAMG";"";"";"";"";"";"";"";"-13.61";"0.1";"ARC_2007-2009";"-102.1";"1";"ARC_2007-2009";"10.7";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2007";"";"01.06.2007";"30.06.2007";"1064";"83";"ZAMG";"";"";"";"";"";"";"";"-7.94";"0.1";"ARC_2007-2009";"-54.6";"1";"ARC_2007-2009";"12.4";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2007";"";"01.07.2007";"31.07.2007";"1046";"76";"ZAMG";"";"";"";"";"";"";"";"-10.57";"0.1";"ARC_2007-2009";"-74.4";"1";"ARC_2007-2009";"7.4";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2007";"";"01.08.2007";"31.08.2007";"1039";"158";"ZAMG";"";"";"";"";"";"";"";"-8.04";"0.1";"ARC_2007-2009";"-50.9";"1";"ARC_2007-2009";"8.9";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2007";"";"01.09.2007";"30.09.2007";"1062";"94";"ZAMG";"";"";"";"";"";"";"";"-13.51";"0.1";"ARC_2007-2009";"-94";"1";"ARC_2007-2009";"9.2";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2007";"70000068";"01.10.2007";"31.10.2007";"930";"19";"ZAMG";"";"";"";"";"";"";"";"-15.57";"0.1";"ARC_2007-2009";"-114.2";"1";"ARC_2007-2009";"8.4";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2007";"70000068";"01.11.2007";"30.11.2007";"1100";"82";"ZAMG";"";"";"";"";"";"";"";"-17.17";"0.1";"ARC_2007-2009";"-127.1";"1";"ARC_2007-2009";"5.9";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2007";"70000068";"01.12.2007";"31.12.2007";"1099";"28";"ZAMG";"";"";"";"";"";"";"";"-19.64";"0.1";"ARC_2007-2009";"-149.6";"1";"ARC_2007-2009";"7";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2008";"70000068";"01.01.2008";"31.01.2008";"1083";"62";"ZAMG";"";"";"";"";"";"";"";"-19.695";"0.1";"ARC_2007-2009";"-151.35";"1";"ARC_2007-2009";"4.9";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2008";"70000068";"01.02.2008";"29.02.2008";"390";"8";"ZAMG";"";"";"";"";"";"";"";"-17.875";"0.1";"ARC_2007-2009";"-140.35";"1";"ARC_2007-2009";"5.9";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2008";"70000068";"01.03.2008";"31.03.2008";"1058";"48";"ZAMG";"";"";"";"";"";"";"";"-15.07";"0.1";"ARC_2007-2009";"-114.45";"1";"ARC_2007-2009";"8.6";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2008";"70000068";"01.04.2008";"30.04.2008";"1041";"81";"ZAMG";"";"";"";"";"";"";"";"-16.11";"0.1";"ARC_2007-2009";"-123.05";"1";"ARC_2007-2009";"10";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2008";"70000068";"01.05.2008";"31.05.2008";"1066";"89";"ZAMG";"";"";"";"";"";"";"";"-12.44";"0.1";"ARC_2007-2009";"-90.45";"1";"ARC_2007-2009";"9.9";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2008";"70000068";"01.06.2008";"30.06.2008";"1026";"93";"ZAMG";"";"";"";"";"";"";"";"-11.635";"0.1";"ARC_2007-2009";"-85.85";"1";"ARC_2007-2009";"11.4";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2008";"70000068";"01.07.2008";"31.07.2008";"1083";"157";"ZAMG";"";"";"";"";"";"";"";"-7.82";"0.1";"ARC_2007-2009";"-53.55";"1";"ARC_2007-2009";"11.4";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2008";"70000068";"01.08.2008";"31.08.2008";"1028";"76";"ZAMG";"";"";"";"";"";"";"";"-8.295";"0.1";"ARC_2007-2009";"-57.1";"1";"ARC_2007-2009";"7.9";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2008";"70000068";"01.09.2008";"30.09.2008";"1073";"71";"ZAMG";"";"";"";"";"";"";"";"-13.69";"0.1";"ARC_2007-2009";"-100.3";"1";"ARC_2007-2009";"7.2";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2008";"70000068";"01.10.2008";"31.10.2008";"1066";"59";"ZAMG";"";"";"";"";"";"";"";"-12.01";"0.1";"ARC_2007-2009";"-86.4";"1";"ARC_2007-2009";"2.8";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2008";"70000068";"01.11.2008";"30.11.2008";"1085";"126";"ZAMG";"";"";"";"";"";"";"";"-18.8";"0.1";"ARC_2007-2009";"-140.7";"1";"ARC_2007-2009";"5";"0.2";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2008";"70000068";"01.12.2008";"31.12.2008";"1086";"95";"ZAMG";"";"";"";"";"";"";"";"-19.79";"0.1";"ARC_2007-2009";"-147.8";"1";"ARC_2007-2009";"5.2";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2009";"70000068";"01.01.2009";"31.01.2009";"1078";"27";"ZAMG";"";"";"";"";"";"";"";"-20.18";"0.1";"ARC_2007-2009";"-154.6";"1";"ARC_2007-2009";"6.5";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2009";"70000068";"01.02.2009";"28.02.2009";"1080";"71";"ZAMG";"";"";"";"";"";"";"";"-21.69";"0.1";"ARC_2007-2009";"-166.9";"1";"ARC_2007-2009";"6.4";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2009";"70000068";"01.03.2009";"31.03.2009";"1085";"100";"ZAMG";"";"";"";"";"";"";"";"-18.21";"0.1";"ARC_2007-2009";"-143";"1";"ARC_2007-2009";"10";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2009";"70000068";"01.04.2009";"30.04.2009";"1068";"53";"ZAMG";"";"";"";"";"";"";"";"-12.87";"0.1";"ARC_2007-2009";"-92.5";"1";"ARC_2007-2009";"11.9";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2009";"70000068";"01.05.2009";"31.05.2009";"1014";"21";"ZAMG";"";"";"";"";"";"";"";"-6.65";"0.1";"ARC_2007-2009";"-44.4";"1";"ARC_2007-2009";"11.7";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2009";"70000068";"01.06.2009";"30.06.2009";"1094";"66";"ZAMG";"";"";"";"";"";"";"";"-8.66";"0.1";"ARC_2007-2009";"-59.9";"1";"ARC_2007-2009";"10.5";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2009";"70000068";"01.07.2009";"31.07.2009";"1074";"131";"ZAMG";"";"";"";"";"";"";"";"-9.84";"0.1";"ARC_2007-2009";"-69";"1";"ARC_2007-2009";"11.3";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2009";"70000068";"01.08.2009";"31.08.2009";"1061";"84";"ZAMG";"";"";"";"";"";"";"";"-6.69";"0.1";"ARC_2007-2009";"-42.2";"1";"ARC_2007-2009";"10.6";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2009";"70000068";"01.09.2009";"30.09.2009";"1086";"51";"ZAMG";"";"";"";"";"";"";"";"-8.6";"0.1";"ARC_2007-2009";"-61.1";"1";"ARC_2007-2009";"9.5";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2009";"70000068";"01.10.2009";"31.10.2009";"1073";"35";"ZAMG";"";"";"";"";"";"";"";"-14.13";"0.1";"ARC_2007-2009";"-103.4";"1";"ARC_2007-2009";"7.2";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2009";"70000068";"01.11.2009";"30.11.2009";"1043";"103";"ZAMG";"";"";"";"";"";"";"";"-16.45";"0.1";"ARC_2007-2009";"-119.8";"1";"ARC_2007-2009";"5.4";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2009";"70000068";"01.12.2009";"31.12.2009";"1071";"72";"ZAMG";"";"";"";"";"";"";"";"-20.43";"0.1";"ARC_2007-2009";"-158.1";"1";"ARC_2007-2009";"7.1";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2010 (1)";"70000068";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2010 (2)";"70000068";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2010 (3)";"70000068";"01.01.2010";"31.01.2010";"1085";"25";"ZAMG";"";"";"";"";"";"";"";"-21.02";"0.1";"ARC_2007-2009";"-161.4";"1";"ARC_2007-2009";"7.7";"0.7";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2010";"70000068";"01.02.2010";"28.02.2010";"1089";"30";"ZAMG";"";"";"";"";"";"";"";"-23.63";"0.1";"ARC_2007-2009";"-181.9";"1";"ARC_2007-2009";"7.6";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2010";"70000068";"01.03.2010";"31.03.2010";"1100";"38";"ZAMG";"";"";"";"";"";"";"";"-19.34";"0.1";"ARC_2007-2009";"-151.9";"1";"ARC_2007-2009";"6.6";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2010";"70000068";"01.04.2010";"30.04.2010";"947";"21";"ZAMG";"";"";"";"";"";"";"";"-15.77";"0.1";"ARC_2007-2009";"-116.6";"1";"ARC_2007-2009";"10.9";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2010";"70000068";"01.05.2010";"31.05.2010";"1092";"131";"ZAMG";"";"";"";"";"";"";"";"-9.85";"0.1";"ARC_2007-2009";"-67.3";"1";"ARC_2007-2009";"10.5";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2010";"70000068";"01.06.2010";"30.06.2010";"1079";"92";"ZAMG";"";"";"";"";"";"";"";"-15.67";"0.1";"ARC_2007-2009";"-116.4";"1";"ARC_2007-2009";"12.5";"0.8";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2010";"70000068";"01.07.2010";"31.07.2010";"1085";"51";"ZAMG";"";"";"";"";"";"";"";"-8.31";"0.1";"ARC_2007-2009";"-55.1";"1";"ARC_2007-2009";"12.6";"0.6";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2010";"70000068";"01.08.2010";"31.08.2010";"1090";"232";"ZAMG";"";"";"";"";"";"";"";"-12.71";"0.1";"ARC_2007-2009";"-94.1";"1";"ARC_2007-2009";"9.7";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2010";"70000068";"01.09.2010";"30.09.2010";"1188";"97";"ZAMG";"";"";"";"";"";"";"";"-14.82";"0.1";"ARC_2007-2009";"-106.4";"1";"ARC_2007-2009";"8.5";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2010";"70000068";"01.10.2010";"31.10.2010";"1069";"84";"ZAMG";"";"";"";"";"";"";"";"-19.57";"0.1";"ARC_2007-2009";"-146.6";"1";"ARC_2007-2009";"5.5";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2011";"70000068";"01.01.2011";"31.01.2011";"1082";"25";"ZAMG";"";"";"";"";"";"";"";"-20.24";"0.1";"ARC_2007-2009";"-152.4";"1";"ARC_2007-2009";"4.3";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2011 (1)";"70000068";"01.02.2011";"28.02.2011";"1089";"31";"ZAMG";"";"";"";"";"";"";"";"-18.24";"0.1";"ARC_2007-2009";"-139.7";"1";"ARC_2007-2009";"4";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2011";"70000068";"01.03.2011";"31.03.2011";"1079";"37";"ZAMG";"";"";"";"";"";"";"";"-19.39";"0.1";"ARC_2007-2009";"-145.1";"1";"ARC_2007-2009";"6.6";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2011 (1)";"70000068";"01.04.2011";"01.05.2011";"423";"8";"ZAMG";"";"";"";"";"";"";"";"-8.36";"0.1";"ARC_2007-2009";"-59.7";"1";"ARC_2007-2009";"10.6";"0.7";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2011 (2)";"70000068";"01.05.2011";"31.05.2011";"1106";"54";"ZAMG";"";"";"";"";"";"";"";"-9.97";"0.1";"ARC_2007-2009";"-70.8";"1";"ARC_2007-2009";"13.8";"0.7";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2011";"70000068";"01.06.2011";"30.06.2011";"1101";"119";"ZAMG";"";"";"";"";"";"";"";"-9.89";"0.1";"ARC_2007-2009";"-69.8";"1";"ARC_2007-2009";"10.9";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2011 (1)";"70000068";"01.07.2011";"01.08.2011";"1072";"84";"ZAMG";"";"";"";"";"";"";"";"-7.31";"0.1";"ARC_2007-2009";"-47.6";"1";"ARC_2007-2009";"12.9";"0.8";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2011";"70000068";"01.08.2011";"01.09.2011";"1093";"86";"ZAMG";"";"";"";"";"";"";"";"-6.68";"0.1";"ARC_2007-2009";"-41.6";"1";"ARC_2007-2009";"8.5";"0.5";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2011";"70000068";"01.09.2011";"01.10.2011";"1099";"123";"ZAMG";"";"";"";"";"";"";"";"-12.02";"0.1";"ARC_2007-2009";"-86.4";"1";"ARC_2007-2009";"8.9";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2011 (1)";"70000068";"01.10.2011";"01.11.2011";"1111";"76";"ZAMG";"";"";"";"";"";"";"";"-16.21";"0.1";"ARC_2007-2009";"-119.2";"1";"ARC_2007-2009";"5.4";"0.3";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2011 (2)";"70000068";"01.11.2011";"30.11.2011";"555";"13";"ZAMG";"";"";"";"";"";"";"";"-7.26";"0.1";"ARC_2007-2009";"-54";"1";"ARC_2007-2009";"4.1";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2011";"70000068";"01.12.2011";"31.12.2011";"1088";"110";"ZAMG";"";"";"";"";"";"";"";"-19.97";"0.1";"ARC_2007-2009";"-148.6";"1";"ARC_2007-2009";"7";"0.4";"ARC_2007-2009";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2012";"70000068";"";"31.01.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Feb 2012";"70000068";"";"29.02.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mär 2012";"70000068";"";"31.03.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Apr 2012";"70000068";"";"30.04.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Mai 2012";"70000068";"";"31.05.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jun 2012";"70000068";"";"30.06.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jul 2012";"70000068";"";"31.07.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Aug 2012";"70000068";"";"31.08.2012";"";"113";"ZAMG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Sep 2012";"70000068";"";"30.09.2012";"";"71";"ZAMG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Okt 2012";"70000068";"";"31.10.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Nov 2012";"70000068";"";"30.11.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Dez 2012";"70000068";"";"31.12.2012";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IN70000068";"Obergurgl";"Sölden";"1938";"Jan 2014";"70000068";"01.01.2014";"31.01.2014";"894";"51";"ZAMG";"";"";"";"";"";"";"";"-18.82";"0.1";"ARC_2007-2009";"-146.2";"1";"ARC_2007-2009";"4.2";"0.3";"ARC_2007-2009";"";
